name,mean_cp,mean_odds,uniq_a,uniq_b,shared,score
"Epilepsy, Temporal Lobe (dsyn)",2.08e-36,0.14,2,98,2,2.04
Nicotine (phsu),3.93e-42,0.22,53,200,3,67.05
Combination Drug Therapy (topp),2.06e-29,1.26,8,997,1,8.06
Dyspnea (sosy),5.82e-19,2.54,192,1469,34,217.09
in vitro Model (resa),3e-07,0.17,2,23,0,2.17
"Chromatography, Gel (lbpr)",8.16e-24,0.02,1,8,0,1.12
Structure of papillary muscle (bpoc),1.31e-09,0.14,2,26,0,2.15
Hemangioma (neop),5.71e-42,0.19,3,166,0,3.05
Opioid Receptor (aapp),3.33e-22,0.08,5,25,0,6.0
Retinoblastoma Protein|RB1 (aapp),1.88e-15,0.25,2,85,0,2.05
BRAZILIAN (fndg),3.87e-08,5.14,466,303,20,500.02
Thromboxane B2 (eico),1.31e-08,0.15,8,12,1,13.33
Anura (amph),3.86e-62,0.11,3,130,0,3.07
Lipoid nephrosis (dsyn),8.23e-08,0.25,8,43,0,9.49
MMP (gngm),9.96e-08,0.36,5,98,0,5.26
Traumatic Brain Injury (inpo),8.24e-40,1.45,44,2372,6,44.82
Thyroid Gland (bpoc),1.3e-21,0.33,20,196,1,22.04
Face (blor),1.5e-16,0.5,50,373,4,56.7
Fibroblast Growth Factor (aapp),7.48e-21,0.21,13,94,1,14.8
Vero Cells (cell),8.41e-07,0.28,1,55,0,1.02
Disease Progression (patf),2.85e-09,2.86,237,3345,45,253.79
Underweight (fndg),7.74e-157,25.29,1212,242,334,290.32
Snoring (sosy),9.59e-14,7.24,384,33,11,35.84
Group C (clas),3.06e-06,2.15,34,122,5,43.48
Epiphysis of bone (bpoc),2.18e-07,0.09,1,12,0,1.08
Pre-existing disease (sosy),1.48e-06,4.26,23,345,14,24.53
I Kappa B-Alpha (bacs),1.33e-17,0.27,6,112,1,6.32
Hypoglycaemic episode (dsyn),3.6e-06,4.01,34,52,2,56.23
Cervix carcinoma (neop),9.34e-10,0.96,13,406,5,13.42
Muramidase (aapp),6.82e-19,0.11,3,37,0,3.24
Energy Metabolism (phsf),8.51e-56,3.43,969,256,34,323.63
Collagen (aapp),2.29e-100,0.22,89,482,1,105.43
Epithelium (tisu),1.13e-187,0.25,32,1048,2,32.98
TRANSCRIPTION FACTOR (aapp),1.96e-115,0.29,78,870,1,84.99
Small cell carcinoma of lung (neop),1.37e-62,0.97,7,1537,8,7.03
Thalamic structure (bpoc),3.04e-23,0.27,20,152,0,22.63
Motion (npop),2.8e-22,0.18,27,63,0,38.57
"Laser Therapy, Low-Level (topp)",5.11e-09,0.32,9,77,0,10.05
Nuclear Proteins (aapp),2.98e-27,0.19,2,106,0,2.04
Laparoscopic Colectomy (topp),6.54e-42,6.57,49,164,29,63.64
Excessive weight loss (fndg),2.72e-09,38.58,140,12,22,13.03
Suicide (inpo),5.83e-14,1.83,37,1851,20,37.74
Papillary thyroid carcinoma (neop),1.47e-06,0.99,42,531,1,45.32
TUBULAR CELLS (cell),1.09e-16,0.27,5,102,1,5.25
Metyrapone (phsu),2.38e-06,0.15,1,18,0,1.06
Baclofen (aapp),3.97e-17,0.11,6,30,0,7.2
Annexins (aapp),1.2e-11,0.14,1,33,0,1.03
IGA Glomerulonephritis (dsyn),1.79e-08,0.44,27,148,5,31.93
Connective Tissue Diseases (dsyn),1.22e-08,1.0,17,411,2,17.7
tat Genes|TAT (gngm),8.9e-14,0.15,9,32,0,11.53
11-beta-Hydroxysteroid Dehydrogenase Type 1 (aapp),5.3e-07,2.56,46,10,2,12.17
Hospitalized Patients (humn),1.38e-52,4.06,284,3673,109,305.96
Entire head (bpoc),1.39e-08,0.53,39,444,2,42.43
Topoisomerase (aapp),2.23e-15,0.2,1,62,0,1.02
health disparity (hlca),6.16e-10,4.41,24,67,0,32.6
Janus kinase 2|JAK2 (aapp),4.84e-10,0.24,1,49,0,1.02
Granulocyte Colony-Stimulating Factor (aapp),4.43e-08,0.71,14,564,0,14.35
server (popg),1.55e-07,0.1,2,11,0,2.36
Billroth I Procedure (topp),2.39e-25,3.3,69,230,21,89.7
Pancreatic Ductal Adenocarcinoma (neop),4.71e-06,2.31,10,858,9,10.12
"Ventricular Function, Left (ortf)",6.47e-35,2.61,239,1255,26,284.51
Mesothelioma (neop),1.78e-14,1.1,3,427,2,3.02
Kidney operations NOS (topp),3.74e-06,3.24,16,52,3,20.92
Glutathione Disulfide (aapp),3.52e-06,0.27,12,36,0,16.0
Gunshot wound (inpo),4.97e-09,1.41,1,335,2,1.0
CDKN1A|TCEAL1|NSG1|H3F3AP6 (gngm),4.42e-37,0.27,3,305,1,3.03
Ornithine Decarboxylase (aapp),7.9e-23,0.05,1,18,0,1.06
bone morphogenetic protein 2 (aapp),9.06e-11,0.13,3,26,0,3.35
Berberine (orch),1.97e-14,0.15,2,42,0,2.1
ENOLASE (aapp),7.23e-08,0.14,1,21,0,1.05
Tissue Extracts (bacs),6.26e-07,0.19,2,27,0,2.15
Ca(2+)-Transporting ATPase (aapp),4.52e-06,0.14,2,14,0,2.29
"Antigens, Differentiation (imft)",1.17e-07,0.18,2,28,0,2.14
EGF gene|EGF (gngm),8.58e-22,0.16,2,69,1,2.06
FASTK Gene (aapp),1.19e-14,0.23,8,76,0,8.84
Factor Xa (gngm),5.45e-07,0.38,5,78,1,5.32
Apomorphine (phsu),5.21e-26,0.02,1,6,0,1.17
Growth Inhibitors (bacs),1.47e-16,0.23,2,80,0,2.05
rituximab (phsu),4.12e-68,0.92,8,1555,6,8.04
Pulmonary Fibrosis (dsyn),6.75e-11,1.03,13,513,9,13.33
PATIENT PROFILE (hlca),3.91e-06,4.72,12,48,2,15.0
Hepatitis B reactivation (dsyn),3.25e-06,1.01,1,141,0,1.01
Coronary angiography (diap),2.33e-95,3.39,325,1148,41,417.01
Pituitary cell (cell),4.33e-18,0.03,3,3,0,6.0
Atrioventricular Block (dsyn),5.94e-07,1.02,4,221,1,4.07
sevoflurane (orch),2.35e-08,0.35,32,95,0,42.78
Propofol (orch),1.61e-10,0.45,106,279,4,146.27
"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse (neop)",3.73e-12,1.41,2,406,0,2.01
Levonorgestrel (phsu),3.42e-06,1.14,48,9,1,10.69
Transfection (mbrt),8.66e-45,0.14,3,122,0,3.07
Fingerprints (mnob),1.81e-08,0.09,1,14,0,1.07
Brain natriuretic peptide (aapp),7.74e-29,2.83,167,1167,51,190.9
Clone (tisu),1.2e-54,0.26,3,433,0,3.02
"Lupus Erythematosus, Systemic (dsyn)",5.54e-44,0.56,216,1672,11,243.9
Alcohols (orch),2.09e-14,0.17,7,45,0,8.09
Chlamydia trachomatis (rich),2.18e-11,0.09,4,11,0,5.45
Outpatients (podg),4.21e-73,2.5,851,1757,95,1263.18
Ocular Hypertension (dsyn),1.67e-06,0.15,10,4,0,5.6
Osteoblasts (cell),2.01e-37,0.16,31,100,0,40.61
Heart Valves (bpoc),2.09e-06,1.76,95,2303,34,98.92
Older Population (popg),7.85e-112,6.47,180,435,28,254.48
"Echocardiography, Transesophageal (diap)",1.25e-07,1.01,16,375,2,16.68
Underserved Population (popg),4.65e-06,3.47,17,48,0,23.02
Allergens (imft),3.95e-33,0.09,11,40,0,14.03
Androgen therapy (topp),1.81e-10,2.98,65,532,17,72.94
neutrophil (cell),7.13e-197,0.26,69,1181,4,73.03
Entire flexor tendon (bpoc),1.66e-06,0.08,2,6,0,2.67
water channel (aapp),5.27e-13,0.19,3,52,0,3.17
Cigarette Smoking (dora),4.16e-29,3.94,161,267,28,258.08
Macular Holes (dsyn),6.57e-13,0.03,1,3,0,1.33
Atherosclerosis (dsyn),1.29e-226,2.92,1756,3500,192,2637.01
Lymph node excision (topp),6.67e-11,3.87,93,1308,20,99.61
Zona Pellucida (celc),1.27e-08,0.05,1,5,0,1.2
"Genes, Reporter (gngm)",1.92e-10,0.09,1,17,0,1.06
Vaginal delivery procedure (topp),5.32e-34,3.51,102,276,8,139.7
film (photographic) (mnob),4.43e-10,0.15,4,26,0,4.62
SMALL SIZE (fndg),1.06e-30,3.48,84,219,13,116.22
Malignant mesothelioma (neop),4.18e-09,0.83,4,233,0,4.07
Diltiazem (phsu),2.58e-32,0.1,1,64,0,1.02
"Leukemia, Lymphocytic, Acute (neop)",6.26e-13,1.32,105,2035,27,110.42
Schizoaffective Disorder (mobd),9.89e-08,2.24,91,43,13,63.32
Ampicillin (antb),3.49e-08,0.36,3,175,0,3.05
QTC INTERVAL (orga),3.88e-09,4.4,21,92,4,25.79
Sulfuric Acid Esters (orch),3.7e-09,0.25,25,40,1,40.62
Central incisor (bpoc),4.41e-09,0.07,4,2,0,3.0
Histone Deacetylase (aapp),3.9e-12,0.29,5,82,0,5.3
functional disability (fndg),1.96e-06,2.98,49,89,2,75.98
Patient Selection (resa),2.53e-12,4.53,52,681,19,55.97
Molecular Chaperones (aapp),1.76e-31,0.16,10,98,1,11.02
Females (popg),2.76e-40,5.36,777,647,29,1185.75
Cranial Nerves (bpoc),8.18e-07,0.97,2,163,0,2.02
CA3 (gngm),3.73e-07,0.16,3,20,0,3.45
TNF-related apoptosis-inducing ligand|TNFSF10 (aapp),6.01e-20,0.19,4,76,1,4.21
Microsomes (celc),3.3e-90,0.03,7,29,0,8.69
"Component, LOINC Axis 1 (clas)",1.05e-12,3.0,153,249,11,247.01
Peripheral Stem Cell Transplantation (topp),7.23e-08,2.18,3,472,0,3.02
Dental Implants (medd),1.23e-14,0.1,3,25,0,3.36
Upper gastrointestinal hemorrhage (dsyn),2.88e-09,2.3,7,718,0,7.07
Somatotropin (aapp),1.36e-10,0.84,366,262,18,449.55
Nation (orgt),3.15e-09,9.01,141,78,5,121.15
Optic Disk (bpoc),3.41e-07,0.2,17,13,0,22.94
Glutamate-Ammonia Ligase (aapp),1.31e-16,0.06,1,19,0,1.05
Orthologous Gene (gngm),3.82e-38,0.12,4,88,0,4.18
Facilitation (ortf),5.66e-16,0.14,6,40,0,6.9
Angiotensin II (aapp),6.23e-97,0.22,75,473,2,86.89
Erosive esophagitis (dsyn),1.22e-08,3.75,71,8,1,8.9
Dopamine (nsba),1.64e-181,0.12,71,341,2,85.78
Aortic diameter (fndg),3.98e-08,4.58,22,142,4,25.41
Cartilage damage (inpo),1.23e-09,2.66,39,3,0,3.23
NELFCD (gngm),9.68e-14,0.33,12,122,0,13.18
Protein Kinase C|DYT10|PRRT2 (aapp),4.66e-23,0.07,2,28,0,2.14
Lymphocyte (cell),1.23e-201,0.2,87,899,4,95.42
"EP300 protein, human|EP300 (aapp)",4.43e-11,0.1,3,18,0,3.5
Gamma globulin (aapp),9.41e-11,0.12,1,25,0,1.04
Paget's Disease (neop),2.12e-07,0.83,1,168,1,1.01
Pelvic prolapse (dsyn),1.5e-44,1.75,199,34,0,39.81
Kidney Diseases (dsyn),5.21e-50,2.01,581,2938,77,695.89
Invasive Carcinoma (neop),4.95e-11,1.04,8,368,0,8.17
Argipressin (phsu),9.2e-57,0.28,25,378,1,26.65
Infectious Mononucleosis (dsyn),9.9e-10,0.19,2,39,0,2.1
Dominant-Negative Mutation (comd),1.47e-08,0.22,2,40,0,2.1
Substance P Receptor (aapp),3.81e-10,0.08,1,14,0,1.07
Aortic valve replacement NOS (topp),3.54e-07,4.57,53,2641,88,54.06
Calcium (bacs),7.93e-30,0.48,560,1170,41,828.03
Decidua (bpoc),1.35e-12,0.11,2,24,0,2.17
Botulinum Toxins (hops),1.36e-16,0.2,23,55,1,32.62
RNA Interference (genf),8.36e-07,0.36,2,172,0,2.02
Magnetism (npop),7.53e-16,0.04,1,11,0,1.09
Zebrafish (fish),3.74e-18,0.37,10,424,1,10.24
beta-Endorphin (aapp),3.06e-20,0.1,18,6,0,8.0
Natriuretic Peptides (aapp),6.86e-12,2.58,70,427,19,81.48
Ambulatory Care Facilities (hcro),4.3e-33,2.93,818,1162,61,1393.84
Vagotomy (topp),2.87e-06,0.23,4,31,0,4.52
Somatosensory Cortex (bpoc),6.71e-13,0.03,2,2,0,4.0
Knee pain (sosy),1.1e-23,4.73,185,8,1,8.35
"Tissue, Paraffin (tisu)",1.67e-10,1.14,2,286,0,2.01
Unrelated (fndg),3.39e-13,1.93,203,1069,11,241.55
Glucose Transporter (aapp),4.68e-10,0.18,9,31,0,11.61
cell body (neuron) (celc),8.29e-13,0.41,58,215,9,73.65
Pneumocystis (fngs),3.11e-06,1.43,2,226,0,2.02
terbinafine (orch),2.61e-08,0.12,1,18,0,1.06
BRAF gene|BRAF|SNRPE (gngm),6.07e-13,1.08,7,445,2,7.11
Preventive Intervention (hlca),3.16e-14,4.61,29,78,4,39.78
Alcohol dehydrogenase (aapp),8.3e-18,0.08,3,23,0,3.39
Carbohydrates (carb),1.01e-53,1.3,430,197,12,287.25
Light Sources (medd),1.64e-06,0.08,1,8,0,1.12
Tumor Suppressor Genes (gngm),1.7e-34,0.76,13,1344,5,13.13
Microbial Biofilms (bact),1.31e-13,0.31,4,135,0,4.12
MYOD1 (gngm),9.82e-07,0.13,3,12,0,3.75
Dexamethasone (phsu),1.51e-129,0.32,95,1124,1,103.03
"Blood Pressure Monitoring, Ambulatory (diap)",3.49e-13,5.58,94,101,10,181.49
Basal Ganglia (bpoc),6.55e-24,0.31,15,191,0,16.18
"Leukemia, Myelocytic, Acute (neop)",1.19e-122,1.29,22,4438,24,22.11
Optic Nerve (bpoc),7.56e-29,0.16,8,92,0,8.7
undergraduate student (popg),3.53e-08,2.3,36,6,0,7.0
Galectin 1 (aapp),2.7e-08,0.23,1,39,0,1.03
Nitrate (inch),3.9e-18,0.26,21,115,0,24.83
anti-IgM|CD40LG (aapp),5.11e-08,0.19,1,31,0,1.03
Multiple tumors (neop),8.45e-08,1.29,4,292,0,4.05
Xenon (phsu),1.16e-06,0.12,1,15,0,1.07
Interleukin-7 (aapp),3.58e-09,0.25,3,49,0,3.18
Lipoproteins (aapp),4.73e-56,1.22,568,386,24,648.32
SP1 gene|SP1 (gngm),3.34e-18,0.13,4,44,0,4.36
CD14 gene|CD14 (gngm),1.58e-07,0.48,21,151,5,23.92
P-Glycoprotein (aapp),2.22e-62,0.15,12,187,0,12.77
Column Chromatography (lbpr),3.71e-09,0.06,2,6,0,2.67
Glycolipids (bacs),3.15e-19,0.07,1,26,0,1.04
Cell Wall (celc),3.63e-66,0.13,4,167,1,4.1
N-terminal pro-B-type natriuretic peptide (aapp),3.94e-44,4.81,97,504,32,115.67
Nerve Fibers (celc),7.58e-11,0.16,13,20,0,21.45
Phenolics (orch),5.37e-13,0.22,15,58,0,18.88
Heart Arrest (patf),1.77e-19,3.2,17,3432,26,17.08
Primary Neoplasm (neop),3.07e-58,1.73,20,3247,15,20.12
Workers (humn),1.31e-31,1.17,640,1107,16,1010.01
RAC1 (gngm),5.03e-19,0.14,2,54,0,2.07
Interferon-beta (aapp),7.64e-29,0.18,11,111,0,12.09
S-Adenosylmethionine (aapp),7.44e-12,0.15,7,28,1,8.75
Camels (mamm),3.63e-08,0.18,1,29,0,1.03
Epiphysial cartilage (tisu),2.77e-13,0.14,16,15,0,29.06
CATHEPSIN D|CTSD (aapp),3.36e-15,0.16,2,48,0,2.08
Lymphoproliferative Disorders (neop),1.12e-24,0.98,2,556,1,2.01
Reserpine (phsu),6.74e-17,0.03,1,8,0,1.12
Lower respiratory tract infection (dsyn),2.19e-07,1.36,6,425,6,6.08
Chlamydia (rich),8.07e-12,0.15,3,33,1,3.27
Health care facility (hcro),2.59e-94,4.27,412,3804,92,456.62
Two (qnco),3.46e-07,1.15,584,1566,41,801.79
Myofibrils (celc),2.24e-06,0.09,2,6,0,2.67
Offspring (famg),4.43e-33,2.05,983,802,27,1456.33
Movement Disorders (dsyn),1.96e-10,0.25,13,60,0,15.82
"STAT5A protein, human|STAT5A (aapp)",4.08e-16,0.19,1,62,0,1.02
IGHE (gngm),1.25e-51,0.14,42,87,1,62.28
Mitogen-Activated Protein Kinases (aapp),5.58e-102,0.18,11,392,1,11.31
Lipid A (imft),1.09e-09,0.14,1,26,0,1.04
Syncope (sosy),1.67e-11,0.89,21,457,1,21.96
Renal Blood Flow (ortf),6.1e-10,0.27,8,63,0,9.02
Screw (medd),7.5e-10,0.34,39,104,2,53.62
Platelet rich plasma (bdsu),6.1e-07,0.2,5,27,0,5.93
Water consumption (orgf),5.85e-17,1.66,160,117,7,202.56
ALPHA-AMYLASE (aapp),4.94e-14,0.08,4,13,0,5.23
"Mice, Transgenic (mamm)",5.25e-58,0.31,21,597,0,21.74
Metal stent (medd),7.38e-12,2.22,10,1123,6,10.09
Gelatin (aapp),8.77e-11,0.19,3,43,0,3.21
Microfilaments (celc),3.98e-24,0.06,1,28,0,1.04
Human Chorionic Gonadotropin|CTSG (aapp),3.43e-08,100.67,5,7,0,8.57
Methylene blue (phsu),1.28e-13,0.26,8,85,1,8.75
chemokine (aapp),7.05e-07,0.6,89,940,5,97.43
Echocardiography (diap),1.59e-46,2.66,355,2322,61,409.27
"Endarterectomy, Carotid (topp)",4.87e-10,2.2,9,974,6,9.08
Demography (ocdi),5.55e-101,8.85,135,339,20,188.76
"Medical record, device (mnob)",3.24e-19,3.81,64,315,9,77.0
Spinal Fractures (inpo),2.16e-13,2.85,204,329,13,330.49
Plasmodium falciparum infection (dsyn),3.33e-08,0.76,3,269,0,3.03
poor health (fndg),1.75e-67,5.84,182,305,35,290.6
Saline (clnd),4.96e-17,0.31,7,127,0,7.39
Zinc (bacs),1.09e-08,0.52,242,496,5,360.07
Secretin (aapp),2.68e-07,0.08,3,4,0,5.25
Population Group (humn),0.0,35.36,681,1521,85,985.91
Midazolam (orch),2.07e-13,0.37,33,168,2,39.48
Seminal fluid (bdsu),8e-07,0.14,6,11,0,9.27
Enalapril (aapp),2.49e-13,0.42,19,186,3,20.94
Neck Dissection (topp),1.61e-07,2.18,7,587,0,7.08
Transfer factor - respiratory measure (fndg),3.79e-17,4.87,37,160,8,45.56
Dystrophy (patf),1.44e-06,0.19,6,21,0,7.71
Hyaluronic Acid (bacs),7.71e-14,0.24,29,64,0,42.14
Lack of sensation (sosy),1.16e-08,0.58,102,433,7,126.03
Behavior (inbe),2.08e-42,2.11,1635,1380,73,2544.77
radioligand (irda),1.03e-06,0.12,3,12,0,3.75
Delirium (mobd),3.84e-09,1.75,17,966,11,17.3
Chemical-Induced Change (resa),6.29e-07,0.14,1,18,0,1.06
Ranibizumab (aapp),2.79e-21,0.06,1,21,0,1.05
"Lymphoma, Large-Cell, Diffuse (neop)",8.07e-09,2.59,12,1410,14,12.1
Dopa (phsu),3.45e-17,0.04,2,8,0,2.5
Laparotomy (topp),2.51e-17,2.89,173,1615,30,191.53
Caffeine (orch),1.99e-12,0.32,77,108,2,131.9
Congenital heart disease (dsyn),1.62e-11,1.65,72,1981,16,74.62
Biopsy sample (tisu),1.02e-07,0.67,95,615,3,109.67
Abnormal renal function (patf),1.1e-17,3.36,130,1461,38,141.57
Adsorbents (phsu),1.65e-10,0.15,1,30,1,1.03
"prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase), human|COX8A|COX5A (aapp)",3.79e-17,0.26,4,98,0,4.16
HLA-E (gngm),1.49e-22,0.14,1,65,0,1.02
Delusions (mobd),2.02e-06,0.26,4,37,0,4.43
Salicylic Acid (phsu),1.23e-21,0.1,2,39,1,2.1
Diclofenac (orch),1.81e-13,0.24,13,72,0,15.35
1-Phosphatidylinositol 4-Kinase (aapp),1.98e-14,0.15,2,44,0,2.09
Periodontal Diseases (dsyn),9.71e-21,1.3,177,116,3,192.02
Brain natriuretic peptide|NPPB (horm),5.16e-94,242.54,39,438,19,42.47
resistin|RETN (horm),6.99e-32,4.4,371,36,13,39.49
Pheromone (bacs),1.18e-09,0.09,1,16,0,1.06
Oxytocin|HCRT (aapp),7.33e-11,35.13,9,13,0,15.23
Gonorrhea (dsyn),6.08e-20,0.07,2,22,0,2.18
Clinical act of insertion (hlca),4.86e-06,2.97,35,305,10,39.02
"Chromosomes, Human, Pair 21 (celc)",4.38e-06,0.18,2,20,0,2.2
NBL1 gene|NBL1 (gngm),1.36e-06,0.15,3,16,0,3.56
melanoma (neop),1.11e-97,0.77,56,3855,12,56.81
Cardiac Tamponade (dsyn),1.09e-06,1.56,3,334,2,3.03
fibroblast growth factor 21|FGF21 (aapp),3.5e-10,2.02,49,13,1,16.45
Platelet Activating Factor (imft),9.74e-50,0.06,1,56,0,1.02
Human Cell Line (cell),2.43e-177,0.17,18,620,1,18.52
Phenobarbital (orch),6.38e-40,0.12,3,97,0,3.09
"Receptors, Progesterone|PGR (gngm)",3.69e-10,0.28,15,71,0,18.17
Operation on abdominal region (topp),7.3e-22,3.69,60,308,22,71.69
TP53 gene|TP53 (gngm),6.92e-42,0.41,36,2281,10,36.57
Twin Multiple Birth (humn),3.51e-21,2.63,249,472,7,380.36
Hormones (horm),7.32e-25,1.08,370,303,11,551.13
mast cell (cell),4.27e-87,0.07,6,102,0,6.35
Cell Proliferation (celf),1.36e-33,0.43,55,1677,7,56.8
Vibration - physical agent (npop),1.93e-14,0.05,2,8,0,2.5
"Infections, Hospital (dsyn)",6.09e-10,2.48,13,1432,13,13.12
Serum albumin measurement (lbpr),7.9e-10,12.24,13,19,3,21.89
Fibrinogen (aapp),8.56e-11,1.57,316,414,28,557.2
Bone structure of calcaneum (bpoc),9.79e-10,1.05,102,22,0,26.75
nitric oxide receptor (aapp),2.35e-13,0.13,1,34,0,1.03
3/4 (fndg),1.78e-23,5.46,46,171,8,58.37
C-reactive protein level (lbtr),4.06e-31,7.02,48,97,6,71.75
Small-for-dates unspecified (patf),1.25e-09,7.35,98,73,6,127.38
AROMATICS (orch),4.28e-18,0.05,2,14,0,2.29
"Liver Failure, Acute (dsyn)",7.77e-22,1.82,7,1293,7,7.04
"Urinary Incontinence, Stress (dsyn)",1.4e-53,1.45,306,22,0,23.58
Structure of parenchyma of lung (bpoc),1.86e-17,0.72,12,905,1,12.16
Hematopoiesis (ortf),5.85e-15,0.33,14,135,1,15.45
Isoproterenol (orch),5.54e-55,0.14,34,113,0,44.23
Immune Sera (gngm),3.61e-153,0.06,3,190,0,3.05
Prostaglandin Production (phsf),6.45e-09,0.09,1,14,0,1.07
Colectomy (topp),1.09e-11,3.6,45,470,24,49.31
Proto-Oncogenes (gngm),4.2e-20,0.24,3,103,0,3.09
Nucleus pulposus (bpoc),1.76e-07,0.11,5,7,0,8.57
Collimator (medd),1.57e-06,0.15,3,14,1,3.64
Amyloid (aapp),2.37e-16,0.34,44,180,2,54.76
Progesterone Receptor Status (clna),1.33e-06,5.28,11,25,1,15.84
Prostate-Specific Antigen (aapp),8.64e-10,1.59,172,539,9,226.89
inhibitors (chvf),8.17e-09,0.91,34,518,5,36.23
Microbicides (phsu),2.07e-80,1.3,37,3292,10,37.42
Electrolytes (inch),8.98e-16,0.28,19,111,1,22.25
Intervention Studies (resa),8.97e-17,4.31,37,91,4,52.04
Mucous Membrane (tisu),2.13e-54,0.44,101,1561,5,107.53
Virulence (biof),1.05e-36,0.83,2,825,0,2.0
Lymphedema (dsyn),9.57e-20,1.36,153,120,10,214.12
Deoxyglucose (carb),1.64e-09,0.18,6,31,1,7.16
Epithelial Cells (cell),2.65e-299,0.18,31,1126,4,31.85
Body Weight decreased (fndg),4.62e-181,15.26,4033,1111,477,1417.06
Medication use (fndg),1.23e-18,4.07,86,148,10,135.97
Left Ventricle Remodeling (ortf),1.27e-07,3.09,46,327,5,52.47
Syphilis (dsyn),6.8e-22,0.24,2,110,0,2.04
osteoblast differentiation (celf),2.61e-07,0.2,9,25,0,12.24
Immunoglobulins|WDR20 (aapp),1.31e-06,73.89,5,57,0,5.44
"Transplantation, Homologous (topp)",4.85e-06,3.18,5,707,1,5.04
Cleft Lip (cgab),1.51e-07,0.23,8,35,0,9.83
Calcitonin Gene-Related Peptide (aapp),1.35e-47,0.03,3,19,0,3.47
Antipsychotic Medications (hlca),1.91e-08,4.48,51,69,8,88.7
Amyloid beta-Protein Precursor (aapp),7.69e-32,0.09,3,56,0,3.16
Binding Protein (aapp),7.69e-35,0.24,49,187,3,61.84
S Phase (genf),4.11e-12,0.16,1,39,0,1.03
Malignant neoplasm of lung (neop),6.17e-38,1.66,175,6560,109,179.67
Sedentary (fndg),5.17e-07,7.78,1187,407,71,546.55
Minority Groups (popg),3.93e-31,4.42,78,215,3,106.3
Tumor Necrosis Factor-alpha (aapp),2.38e-10,0.7,474,1745,25,602.75
SMAD2 gene|SMAD2 (gngm),4.17e-06,0.3,2,44,0,2.09
Ventricular arrhythmia (patf),2.54e-12,1.4,20,892,8,20.45
Exertion (orgf),2.12e-10,1.69,263,1435,20,311.2
Hypopituitarism (dsyn),4.79e-06,2.44,68,141,15,100.79
Chondroitin Sulfates (bacs),1.58e-11,0.09,2,13,1,2.31
Female (orga),1.9e-143,2.82,3797,5624,260,6360.52
Flagella (celc),1.63e-09,0.08,1,13,0,1.08
Encounter due to cardiac rehabilitation (fndg),3.29e-58,6.53,102,201,20,153.76
Transglutaminases (aapp),6.87e-15,0.05,1,11,0,1.09
Antigen-Presenting Cells (cell),7.24e-22,0.21,1,96,0,1.01
Prostaglandins (bacs),3.66e-101,0.15,22,305,0,23.59
Entire tendon (bpoc),5.67e-16,0.2,48,21,0,30.19
Cell surface (celc),8.54e-144,0.12,18,347,0,18.93
Citric Acid (bacs),7.1e-08,0.1,3,9,0,4.0
Bone plates (medd),2.74e-23,0.28,68,155,0,97.83
Isotretinoin (orch),1.03e-15,0.2,9,66,0,10.23
Gonadorelin (aapp),3.85e-14,0.28,67,69,3,132.06
Levetiracetam (orch),9.33e-09,0.31,9,71,0,10.14
Aspergillus (fngs),5.15e-09,1.38,2,305,0,2.01
Human cells (lbtr),2.28e-63,0.15,9,199,0,9.41
Extracellular (celc),1.97e-98,0.26,158,638,14,197.13
Gonadotropins|HSD3B1 (phsu),9.43e-08,1042.37,40,6,0,6.9
Autophagy (celf),1.63e-70,0.25,12,384,0,12.38
abciximab (aapp),8.78e-08,1.33,2,315,3,2.01
"Recombination, Genetic (genf)",1.45e-40,0.07,3,47,0,3.19
bevacizumab|COX5A (phsu),1.18e-20,9800.24,7,499,3,7.1
Respiratory distress (sosy),4.45e-06,1.9,6,482,3,6.07
Secretin|SCT (aapp),4.53e-07,0.07,2,4,0,3.0
Cancer Promoting Genes (gngm),1.98e-06,0.89,2,156,1,2.03
Cardiopulmonary (blor),3.76e-103,4.71,222,625,34,300.85
RNA (bacs),2.6e-208,0.21,113,977,9,126.07
Entire sciatic nerve (bpoc),2.5e-26,0.08,7,25,0,8.96
Elastin|ELN (aapp),1.18e-09,0.14,3,23,1,3.39
C-reactive protein measurement (lbpr),4.15e-13,11.89,94,55,9,87.18
Primary Care Physicians (prog),1.46e-07,1.99,52,156,5,69.33
"Sleep Apnea, Central (dsyn)",6.14e-16,3.36,47,117,4,65.88
South Asian (humn),7.6e-58,6.89,192,256,25,336.0
Radiopharmaceuticals (irda),6.32e-07,0.27,2,41,0,2.1
Tumor Antigens (imft),1.32e-08,0.33,1,152,0,1.01
Dichlorodiphenyl Dichloroethylene (orch),7.52e-07,2.14,45,16,1,21.69
Ammonia (bacs),3.28e-26,0.24,10,145,1,10.69
Immunomodulators (imft),3.08e-11,0.8,31,648,1,32.48
Lipolysis (orgf),1.46e-41,1.56,218,41,4,48.71
multilevel analysis (resa),3.15e-09,3.5,25,68,2,34.19
Normal renal function (fndg),2.19e-17,3.18,78,465,16,91.08
"Infant, Premature (humn)",2.5e-36,1.22,72,2198,2,74.36
Structure of interstitial cell of Leydig (cell),1.66e-25,0.02,1,6,0,1.17
6/5 (fndg),2.08e-28,5.63,53,145,6,72.37
