name,mean_cp,mean_odds,uniq_a,uniq_b,shared,score,treeLevel
Thinness/complications,6.33e-20,55.36,64,3,33,3.14,4.0
Continuous Positive Airway Pressure,2.23e-30,10.49,129,116,6,220.31,5.0
Heart Failure/blood,5.79e-37,6.74,66,644,35,72.76,3.0
Physical Education and Training/methods,1.87e-14,3.63,90,5,2,5.28,3.0
Internal Medicine/education,3.2e-07,0.18,1,27,0,1.04,3.0
Biotechnology/methods,5.88e-18,0.03,1,8,0,1.12,3.0
"Evoked Potentials, Auditory",5.06e-09,0.02,1,1,0,2.0,4.0
Insulin/administration & dosage,2.45e-06,3.11,214,258,9,391.5,7.0
"Adaptation, Psychological",3.86e-13,0.43,108,288,6,148.5,2.0
Pharmacology,3.13e-74,0.01,1,4,0,1.25,2.0
"Signal Processing, Computer-Assisted",7.7e-14,0.25,25,75,2,33.33,3.0
Proteins,5.03e-30,0.04,3,17,0,3.53,2.0
Asian Continental Ancestry Group/ethnology,1.83e-10,9.32,65,46,11,78.55,4.0
Ethnic Groups,5.91e-21,1.51,244,239,12,473.1,3.0
Hemodynamics,2.4e-15,0.48,52,341,5,59.93,3.0
Cell Physiological Phenomena,1.57e-07,0.04,1,3,0,1.33,1.0
Skin Transplantation,5.64e-33,0.06,2,38,0,2.11,4.0
Career Choice,2.65e-24,0.05,3,15,0,3.6,6.0
Mandible/surgery,8.28e-07,0.26,13,39,0,17.33,3.0
Tibial Fractures/surgery,4.8e-06,0.22,7,21,2,9.33,3.0
Melanoma/pathology,2.7e-19,1.37,7,802,3,7.06,4.0
Mycobacterium tuberculosis,2.15e-08,0.18,1,29,1,1.03,7.0
Precursor Cell Lymphoblastic Leukemia-Lymphoma/genetics,4.12e-08,1.49,1,279,0,1.0,5.0
Digestive System Surgical Procedures/methods,2.19e-09,4.68,30,452,19,31.99,2.0
Globins/genetics,3.63e-11,0.04,1,6,0,1.17,4.0
Trans-Activators/metabolism,1.55e-26,0.21,1,117,1,1.01,4.0
Skin Tests,1.82e-13,0.02,1,2,0,1.5,4.0
Islets of Langerhans/physiopathology,9.89e-07,2.76,32,3,1,3.28,3.0
Anticholesteremic Agents/therapeutic use,6.63e-17,2.98,86,407,6,104.17,6.0
Managed Care Programs,2.51e-06,0.19,1,25,0,1.04,4.0
Arteries,4e-19,0.05,2,15,0,2.27,3.0
Alzheimer Disease/drug therapy,1.12e-06,0.4,13,87,0,14.94,4.0
Dopamine/physiology,2.73e-13,0.07,6,4,0,6.67,4.0
State Medicine,6.44e-10,0.16,6,27,0,7.33,2.0
"Cardiac Pacing, Artificial",2.79e-06,1.04,4,222,2,4.07,3.0
Peritoneal Dialysis/methods,7.81e-07,4.24,15,152,11,16.48,4.0
Proteins/isolation & purification,2.18e-10,0.02,1,1,0,2.0,2.0
Asthma/drug therapy,1.9e-06,0.63,77,370,1,93.02,3.0
Myocardial Infarction/etiology,1.45e-12,3.12,64,588,28,70.97,4.0
Renal Insufficiency/blood,1.91e-07,5.81,11,48,4,13.52,4.0
Trans-Activators,1.06e-12,0.18,1,47,0,1.02,4.0
Arteriosclerosis,1.3e-11,0.02,1,1,0,2.0,4.0
Visual Acuity,2.77e-08,0.13,4,14,1,5.14,2.0
Operating Rooms,5.69e-07,0.21,3,30,0,3.3,4.0
Transforming Growth Factor beta/metabolism,7.65e-08,0.38,7,92,0,7.53,4.0
Diabetes Complications/surgery,4.82e-07,10.97,9,46,1,10.76,3.0
Clinical Enzyme Tests,9.78e-08,0.13,7,8,0,13.12,4.0
Marriage,1.66e-07,0.21,10,27,1,13.7,5.0
Food Handling/methods,1.34e-10,0.14,4,27,0,4.59,4.0
Radiation Protection,7.79e-15,0.06,2,14,0,2.29,4.0
Neuroglia/metabolism,2.4e-09,0.07,1,10,0,1.1,2.0
Gastric Mucosa/drug effects,8.75e-12,0.06,1,12,0,1.08,4.0
Learning,5.03e-30,0.1,16,29,2,24.83,3.0
Progesterone/pharmacology,2.32e-18,0.05,2,15,0,2.27,5.0
Bone Transplantation,3.5e-16,0.09,5,18,0,6.39,3.0
Glomerular Filtration Rate/physiology,1.08e-60,7.59,91,180,13,137.01,3.0
Energy Intake,2.81e-06,9.93,919,111,29,124.41,5.0
DNA Replication,3.89e-33,0.03,2,11,0,2.36,3.0
Critical Care,5.9e-12,1.8,11,975,8,11.12,3.0
Academies and Institutes,1.88e-10,0.08,1,12,1,1.08,3.0
Physician-Patient Relations,1.37e-25,0.3,55,213,3,69.2,4.0
Tissue Engineering,1.2e-07,0.15,2,21,0,2.19,5.0
Viral Proteins/genetics,8.23e-15,0.26,2,101,0,2.04,3.0
"Air Pollutants, Occupational/analysis",1.1e-08,0.15,3,24,0,3.38,5.0
Water/analysis,1.58e-06,0.14,4,14,0,5.14,4.0
Liver Neoplasms/therapy,6.22e-10,3.87,6,1545,5,6.02,3.0
Hydrogen/metabolism,7.91e-08,0.04,1,3,0,1.33,3.0
Cholecystectomy/methods,8.03e-08,3.7,26,120,2,31.63,4.0
Neoplasm Proteins/metabolism,6.74e-21,0.84,2,456,0,2.01,3.0
Disease Outbreaks,3.23e-28,1.08,37,1261,2,38.09,3.0
"Echocardiography, Transesophageal",1.02e-06,0.86,4,174,0,4.09,6.0
Diabetes Complications,5.61e-08,1.56,112,444,24,140.25,3.0
"Dominance, Cerebral/physiology",1.91e-10,0.05,2,6,0,2.67,3.0
Nerve Growth Factors/blood,2.31e-09,4.39,24,49,1,35.76,3.0
Blood Transfusion/adverse effects,1.44e-10,1.14,4,423,6,4.04,3.0
Blood Coagulation Tests,5.81e-08,0.12,1,18,0,1.06,4.0
Stem Cells/physiology,3.6e-06,0.36,15,69,0,18.26,2.0
Hyperhomocysteinemia/complications,1.47e-06,3.25,20,59,1,26.78,4.0
Pyridines/pharmacology,8.85e-17,0.25,3,94,1,3.1,3.0
Neuromuscular Junction/drug effects,3.67e-09,0.04,1,5,0,1.2,4.0
Neuronal Plasticity/physiology,5.85e-23,0.04,3,8,0,4.12,4.0
Transplantation,2.14e-07,0.34,3,64,2,3.14,2.0
Enteral Nutrition,1.02e-08,2.16,56,249,13,68.59,3.0
Ophthalmologic Surgical Procedures,3.84e-11,0.06,1,10,0,1.1,2.0
Atropine/pharmacology,5.44e-08,0.08,1,10,0,1.1,5.0
Neurotransmitter Agents/metabolism,5.1e-08,0.13,4,12,1,5.33,4.0
Rural Population/statistics & numerical data,4.57e-116,6.95,196,386,14,295.52,3.0
Polycystic Ovary Syndrome/metabolism,1.77e-08,17.46,216,1,1,1.0,4.0
Blood Platelets/enzymology,4.64e-06,0.09,2,6,0,2.67,3.0
Men's Health,2.07e-07,4.1,12,48,7,15.0,3.0
Dental Care,1.42e-15,0.05,2,9,0,2.44,2.0
"Water Pollutants, Chemical/metabolism",5.91e-10,0.2,5,43,0,5.58,5.0
Cardiovascular Diseases/immunology,2.42e-06,5.26,11,39,2,14.1,1.0
Neoplasms/therapy,1.95e-15,0.76,32,1040,8,32.98,1.0
T-Lymphocytes/physiology,7.18e-10,0.19,4,39,0,4.41,6.0
Sedentary Lifestyle,6.1e-21,22.12,511,116,25,142.33,4.0
Liver Cirrhosis/diagnosis,5.28e-19,3.2,63,168,4,86.62,3.0
Vascular Surgical Procedures,2.37e-08,0.81,8,312,2,8.21,3.0
Diabetes Mellitus/epidemiology,3.05e-177,12.64,577,514,79,971.88,2.0
Schizophrenia/diagnosis,7.12e-09,0.21,13,27,2,19.26,3.0
Foot/anatomy & histology,7.26e-06,1.92,20,3,0,3.45,4.0
Diabetes Complications/etiology,3.99e-20,8.56,25,59,5,35.59,3.0
Gas Chromatography-Mass Spectrometry/methods,1.54e-12,0.09,5,14,0,6.79,4.0
Birth Weight/physiology,7.26e-08,16.7,214,61,4,78.39,4.0
Coronary Disease/blood,3.63e-24,3.76,158,256,19,255.52,4.0
Aryl Hydrocarbon Hydroxylases,8.87e-07,0.04,1,3,0,1.33,4.0
Blood Pressure/physiology,3.41e-32,5.88,1050,678,80,1115.79,4.0
Kidney/drug effects,1.68e-14,0.46,29,248,2,32.39,3.0
Skin/metabolism,2.27e-13,0.2,20,40,2,30.0,2.0
Glycosaminoglycans/metabolism,1.53e-06,0.12,3,11,0,3.82,3.0
"Cartilage, Articular/pathology",1.91e-28,2.53,99,4,0,4.16,4.0
Nitric Oxide/pharmacology,2.76e-08,0.14,1,22,0,1.05,3.0
Computer Communication Networks,1.4e-10,0.05,2,5,0,2.8,4.0
"Pulmonary Disease, Chronic Obstructive/complications",1.88e-84,9.15,107,377,28,137.37,4.0
"Hospitals, General",1.27e-07,0.21,3,32,1,3.28,4.0
Melanoma/secondary,7.49e-07,2.98,3,586,0,3.02,4.0
Atherosclerosis/diagnosis,9.11e-23,6.36,51,88,7,80.56,5.0
Adenosine Triphosphatases/metabolism,1.84e-28,0.04,1,19,0,1.05,5.0
Anastomotic Leak/prevention & control,7.47e-07,8.55,7,43,4,8.14,4.0
Hydrocortisone/blood,2.88e-11,1.72,165,142,2,264.21,6.0
Cerebrospinal Fluid,4.28e-08,0.11,2,15,0,2.27,4.0
Hand-Assisted Laparoscopy,2.35e-06,12.83,3,8,4,4.12,5.0
Health Behavior/ethnology,2.47e-12,7.82,128,93,5,160.57,3.0
Face,1.35e-10,0.17,17,19,0,32.21,3.0
Kidney Transplantation/methods,2.67e-19,3.9,65,334,9,77.65,3.0
Continuous Positive Airway Pressure/methods,3.91e-27,9.93,95,99,2,186.16,5.0
Professional Competence,3.61e-15,0.12,3,34,0,3.26,3.0
European Continental Ancestry Group/ethnology,1.36e-18,9.95,46,54,8,85.19,4.0
Periodicals as Topic/history,2.01e-08,0.06,1,8,0,1.12,5.0
Speech,6.79e-18,0.05,3,11,0,3.82,4.0
Interleukin-6/blood,1.64e-82,7.43,291,358,36,527.54,5.0
Oxygen/metabolism,1.72e-07,0.45,54,176,1,70.57,3.0
Drug-Induced Liver Injury,1.44e-06,0.36,5,62,0,5.4,3.0
Child Development/physiology,2.53e-15,3.49,218,53,0,65.89,3.0
Albuminuria/complications,9.08e-32,8.97,40,80,6,60.0,5.0
Neuromuscular Junction/physiology,3.02e-06,0.1,5,1,0,1.2,4.0
Mobility Limitation,1.46e-07,6.91,92,67,6,115.79,3.0
Operative Time,1.13e-09,13.12,34,26,5,45.88,4.0
Obesity/diagnosis,1.27e-07,41.13,791,23,64,23.67,4.0
"Ethics, Research",6.14e-07,0.12,1,16,0,1.06,3.0
Prostatic Neoplasms/ethnology,9.17e-13,7.65,19,97,5,22.72,4.0
Bone Marrow/drug effects,2.19e-07,0.22,1,34,0,1.03,3.0
Preoperative Period,7.26e-23,8.06,29,63,6,42.35,3.0
Diabetic Nephropathies/complications,8.88e-07,3.8,18,86,4,21.77,4.0
Liver Cirrhosis/etiology,7.74e-07,3.44,63,94,4,105.22,3.0
"Antiretroviral Therapy, Highly Active/methods",1.29e-06,4.56,20,232,9,21.72,4.0
Cell Differentiation,8.27e-42,0.18,4,160,0,4.1,3.0
Attitude to Death,1.96e-17,1.0,1,399,1,1.0,3.0
Anesthesiology,3.18e-30,0.11,6,61,0,6.59,3.0
Myocardial Infarction/genetics,5.71e-23,4.06,59,147,3,82.68,4.0
Motor Cortex/physiology,6.98e-19,0.02,1,2,0,1.5,9.0
Electroconvulsive Therapy,1.03e-14,0.06,1,16,0,1.06,4.0
Skin Diseases,1.78e-25,0.01,1,1,0,2.0,2.0
Biological Clocks/physiology,4.17e-07,0.1,3,8,0,4.12,4.0
Adenocarcinoma/diagnosis,1.41e-06,1.61,13,577,4,13.29,5.0
"Abortion, Induced",2.83e-23,0.09,4,35,0,4.46,3.0
Antibodies/immunology,2.66e-06,0.36,10,65,1,11.54,6.0
Immunization,2.2e-24,0.12,2,55,0,2.07,3.0
"Renal Insufficiency, Chronic/diagnosis",3.06e-12,6.65,20,96,5,24.17,5.0
Hydrocortisone/metabolism,5.12e-11,2.38,97,33,3,44.23,6.0
Action Potentials/physiology,1.47e-18,0.07,7,10,0,11.9,3.0
"Adjuvants, Immunologic/pharmacology",3.45e-12,0.26,1,88,0,1.01,5.0
Orthopedic Procedures/adverse effects,1.61e-07,3.49,21,110,7,25.01,2.0
Coronary Artery Disease/diagnosis,1.21e-24,3.99,80,406,12,95.76,5.0
Steroids,5.13e-10,0.05,2,3,0,3.33,2.0
Semantics,3.43e-24,0.04,3,9,0,4.0,5.0
Body Temperature,4.32e-08,0.31,19,66,1,24.47,2.0
Thyroid Neoplasms/pathology,7.3e-10,1.32,7,463,2,7.11,3.0
Metabolic Syndrome X/complications,7.56e-104,19.57,495,259,67,394.52,3.0
"Infant, Low Birth Weight",6.38e-28,2.9,119,419,11,152.8,5.0
Social Desirability,3.98e-12,2.19,44,5,0,5.57,4.0
Cachexia/etiology,4.02e-18,6.46,25,55,12,36.36,7.0
HIV-1/physiology,3.15e-13,0.22,4,62,0,4.26,7.0
Disability Evaluation,1.21e-06,1.08,146,244,7,233.36,3.0
Public Health Administration,2.53e-13,0.18,2,50,0,2.08,3.0
"Tumor Markers, Biological/analysis",1.12e-16,2.99,24,2537,7,24.23,1.0
Anniversaries and Special Events,1.17e-07,0.11,1,16,0,1.06,3.0
Contrast Media/adverse effects,4.19e-07,1.57,8,430,0,8.15,3.0
Antifungal Agents/therapeutic use,4.25e-19,2.38,2,1104,1,2.0,5.0
"Receptors, N-Methyl-D-Aspartate/antagonists & inhibitors",2.19e-07,0.14,1,20,0,1.05,8.0
Diet Records,1.81e-06,7.57,82,2,1,2.05,4.0
Ankle Brachial Index,1.04e-43,12.59,40,83,13,59.28,5.0
"Receptors, Tumor Necrosis Factor, Type I/blood",3.64e-09,9.43,13,22,1,20.68,5.0
Perioperative Period,2.19e-06,7.5,10,45,1,12.22,2.0
Pediatric Nursing,8.55e-08,0.08,2,9,0,2.44,4.0
Ophthalmology,1.34e-15,0.02,1,4,0,1.25,4.0
DNA Mutational Analysis/methods,2.44e-06,0.23,1,30,0,1.03,5.0
HIV Infections/drug therapy,1.68e-23,2.35,271,2073,63,306.43,3.0
Intercellular Signaling Peptides and Proteins,6.31e-16,4.14,167,19,3,21.16,2.0
School Health Services,5.74e-23,1.57,115,12,0,13.25,4.0
Nutrition Assessment,4.93e-17,7.96,459,196,91,279.69,4.0
Cardiovascular Diseases/economics,2.78e-08,6.83,11,76,6,12.59,1.0
Mitochondria/physiology,1.14e-06,0.21,5,27,1,5.93,4.0
Venous Thromboembolism/prevention & control,1.47e-18,5.8,43,349,13,48.3,5.0
Metabolic Syndrome X/surgery,5.63e-08,37.82,28,10,5,13.57,3.0
"Diagnosis, Differential",2.92e-34,0.05,7,19,0,9.58,2.0
Propranolol/therapeutic use,1.69e-07,0.29,2,56,0,2.07,4.0
Blood Coagulation,2.22e-09,0.36,27,113,2,33.45,5.0
Hypolipidemic Agents/therapeutic use,1.36e-23,3.31,89,355,9,111.31,5.0
Coronary Disease/ethnology,1.68e-27,10.31,28,78,10,38.05,4.0
Cell Cycle Proteins/metabolism,2.55e-10,0.31,1,156,0,1.01,3.0
Parenting/psychology,5.81e-07,1.16,56,12,0,14.57,5.0
Polyploidy,1.16e-07,0.16,1,24,0,1.04,3.0
Stroke/therapy,4.65e-06,3.01,5,719,2,5.03,4.0
Fluorescence,1.75e-12,0.07,4,8,0,6.0,5.0
General Surgery/education,2.53e-08,0.36,3,113,2,3.08,4.0
Continental Population Groups/ethnology,3.42e-07,7.05,10,21,1,14.76,3.0
Ventricular Remodeling,9.6e-26,4.98,57,228,10,71.25,3.0
Bacteria/classification,3.7e-10,0.26,4,62,0,4.26,1.0
Motion Pictures as Topic,6.01e-07,0.12,1,15,0,1.07,4.0
Neoplasms/metabolism,3.94e-09,0.47,32,194,5,37.28,1.0
Kidney/enzymology,1.97e-18,0.05,1,16,0,1.06,3.0
Synaptic Transmission,2.2e-14,0.04,2,4,0,3.0,4.0
Neural Inhibition/physiology,1.51e-12,0.03,1,5,0,1.2,4.0
Coronary Artery Disease/psychology,4.84e-09,7.11,11,37,4,14.27,5.0
Amino Acids/pharmacology,1.16e-06,0.11,5,5,0,10.0,2.0
Uric Acid/blood,4.49e-18,6.01,286,220,23,389.23,4.0
Anti-Inflammatory Agents/therapeutic use,3.32e-09,0.89,34,502,2,36.3,4.0
"Carcinoma, Non-Small-Cell Lung/drug therapy",3.82e-16,4.57,6,2526,5,6.01,5.0
"Hepatitis C, Chronic/epidemiology",2.93e-13,5.03,29,73,0,40.52,4.0
Materials Testing,1.6e-08,0.11,2,17,0,2.24,2.0
"Carcinoma, Squamous Cell/diagnosis",1.03e-06,1.6,6,422,2,6.09,5.0
Information Services,6.4e-14,0.08,1,21,0,1.05,2.0
Urinary Bladder Neoplasms/drug therapy,3.03e-10,1.58,1,364,0,1.0,4.0
Vitamin A Deficiency/epidemiology,1.84e-06,5.5,16,27,1,25.48,6.0
Anemia/epidemiology,1.29e-50,7.49,78,207,9,107.39,3.0
Liver/injuries,3.23e-06,1.69,2,275,0,2.01,2.0
Anti-Retroviral Agents/therapeutic use,6.59e-10,3.94,36,369,16,39.51,6.0
Urban Health,4.28e-08,2.15,49,154,3,64.59,3.0
First Aid,3.08e-07,0.17,1,24,0,1.04,3.0
Phosphorus/metabolism,4.01e-08,0.21,5,35,1,5.71,3.0
Hypertension/ethnology,7.24e-15,13.3,177,74,18,104.94,3.0
Radiography,2.36e-32,0.02,2,6,0,2.67,4.0
DNA-Binding Proteins,5.15e-15,0.18,11,52,0,13.33,3.0
Heart Failure/diet therapy,4.53e-06,8.92,7,19,1,9.58,3.0
Reoperation/statistics & numerical data,1.51e-12,10.28,17,110,4,19.63,2.0
"Diet, Mediterranean/statistics & numerical data",8.83e-08,22.42,16,12,3,21.0,4.0
Diabetic Angiopathies/prevention & control,8.21e-15,5.37,32,158,6,38.48,3.0
"Cholecystectomy, Laparoscopic/methods",3.39e-25,4.49,66,137,5,97.8,5.0
Mitosis/drug effects,7.64e-08,0.05,1,4,0,1.25,5.0
Colonic Neoplasms/pathology,1.26e-08,1.3,13,506,2,13.33,6.0
Soil,3.63e-15,0.15,1,47,0,1.02,2.0
Work,3.92e-09,0.24,32,21,5,34.78,2.0
Coronary Stenosis/radiography,3.56e-09,3.28,26,77,4,34.78,5.0
Gene Expression Regulation/physiology,7.59e-14,0.23,19,69,0,24.23,3.0
Inflammatory Bowel Diseases/complications,2.99e-06,2.72,27,95,1,34.67,4.0
Protein-Energy Malnutrition/diagnosis,3.36e-09,11.69,28,17,18,27.32,6.0
Sesquiterpenes/pharmacology,8.47e-07,0.2,1,28,0,1.04,4.0
"Pattern Recognition, Visual",9.69e-20,0.05,5,3,0,4.8,5.0
Sports/physiology,3.11e-13,4.5,191,27,3,30.82,4.0
Pregnancy,1.88e-06,0.35,53,64,2,96.89,5.0
"Anesthesia, Inhalation",1.14e-08,0.14,7,12,1,11.08,4.0
"Endothelium, Vascular/physiopathology",2.67e-24,4.76,293,308,23,571.73,4.0
Poverty Areas,3e-11,3.21,44,169,2,55.46,4.0
Thyrotropin/blood,2.01e-08,2.36,121,60,5,89.75,6.0
Brain Neoplasms/secondary,2.88e-10,3.65,2,1012,1,2.0,4.0
Carrier Proteins/physiology,3.17e-14,0.11,2,29,0,2.14,3.0
Myocardial Perfusion Imaging/methods,7.41e-08,3.2,26,95,3,33.12,5.0
Fermentation,2.17e-07,0.17,11,14,0,19.64,4.0
Dyslipidemias/drug therapy,7.44e-24,5.48,50,209,8,61.96,4.0
Schizophrenia,3.5e-09,0.1,3,11,1,3.82,3.0
Phenols/chemistry,8.49e-10,0.06,1,9,0,1.11,6.0
Energy Metabolism,3.27e-55,2.44,445,126,14,161.68,3.0
"Infertility, Female/therapy",5.51e-19,2.53,100,14,3,15.96,5.0
Asian Americans/statistics & numerical data,8.93e-17,7.59,53,67,4,94.93,4.0
Mental Disorders/therapy,1.57e-32,0.17,14,105,3,15.87,1.0
Osteoblasts/cytology,2.83e-09,0.05,2,4,0,3.0,3.0
Ion Channels/metabolism,7.65e-08,0.16,10,14,0,17.14,5.0
Neuroprotective Agents/therapeutic use,4.6e-09,0.93,6,266,0,6.14,5.0
alpha-Linolenic Acid/administration & dosage,3.09e-06,6.36,12,21,0,18.86,5.0
Rheology,3.92e-08,0.05,1,5,0,1.2,2.0
Metabolic Syndrome X/diagnosis,4.17e-16,26.65,326,62,24,73.79,3.0
Osteoporosis/epidemiology,4.46e-14,10.48,164,93,4,145.74,4.0
Biomedical Research,3.11e-71,0.08,2,114,0,2.04,4.0
Psoriasis/blood,4.87e-06,3.08,33,3,1,3.27,4.0
DNA Transposable Elements,4.01e-09,0.15,10,14,0,17.14,4.0
Colonic Neoplasms/epidemiology,2.23e-09,4.82,47,65,9,80.98,6.0
C-Reactive Protein/analysis,2.25e-162,10.77,534,535,55,1067.0,4.0
Immunosuppressive Agents/pharmacology,2.49e-12,0.35,8,115,0,8.56,5.0
Colorectal Neoplasms/prevention & control,7.03e-08,3.66,45,412,6,49.92,5.0
Genetic Predisposition to Disease,1.9e-10,2.2,500,860,17,790.7,3.0
Endothelial Cells/metabolism,6.92e-07,0.43,14,102,0,15.92,3.0
Sarcoma/pathology,3.03e-07,1.69,1,281,0,1.0,4.0
Somatotypes,5.47e-09,3.59,42,1,0,1.02,3.0
International Cooperation,1.16e-11,0.39,10,275,0,10.36,3.0
Orientation/physiology,3.62e-13,0.04,2,3,0,3.33,3.0
"Hypertension, Pulmonary/drug therapy",4.12e-06,2.11,3,413,1,3.02,3.0
Dementia/epidemiology,1.23e-15,3.1,48,133,8,65.32,3.0
Bone Neoplasms/secondary,3.76e-14,1.63,4,671,2,4.02,3.0
Inuits/statistics & numerical data,5.95e-16,8.05,27,88,0,35.28,4.0
Balneology,4e-08,0.03,1,1,0,2.0,2.0
Magnesium/pharmacology,6.58e-07,0.14,5,14,0,6.79,4.0
Spermatozoa/metabolism,4.62e-07,0.13,6,9,0,10.0,3.0
Blindness/etiology,1.81e-06,0.26,1,38,0,1.03,3.0
"Hypertrophy, Left Ventricular/ethnology",7.51e-07,18.48,11,9,5,16.36,4.0
"Vision, Ocular/physiology",3.51e-11,0.06,4,2,0,3.0,3.0
"Heart Failure, Systolic/epidemiology",4.87e-06,23.97,2,8,3,2.5,4.0
Alcoholism/rehabilitation,1.69e-07,0.16,4,22,0,4.73,4.0
Societies,2.33e-14,0.04,2,5,0,2.8,3.0
Touch,2.34e-08,0.06,2,4,0,3.0,4.0
"Osteoarthritis, Knee/physiopathology",5.55e-10,11.67,166,1,1,1.01,4.0
"Models, Cardiovascular",1.05e-11,0.38,18,144,3,20.25,4.0
Functional Laterality,9.9e-07,0.21,11,19,1,17.37,4.0
Adrenal Gland Neoplasms/surgery,3.21e-08,3.11,31,189,10,36.08,3.0
Phosphoprotein Phosphatases/metabolism,1.4e-08,0.1,1,15,0,1.07,6.0
Contraception,7.21e-08,0.15,5,18,0,6.39,3.0
Ethanol,3.47e-09,0.09,1,14,0,1.07,3.0
Sexual Behavior,1.03e-13,0.24,30,68,0,43.24,3.0
Dendritic Cells/metabolism,4.74e-06,0.28,1,44,0,1.02,3.0
"Carcinoma, Squamous Cell/therapy",7.25e-07,3.91,2,1077,6,2.0,5.0
Pyrroles/therapeutic use,7.33e-13,3.67,59,348,2,69.0,4.0
Hypotension/epidemiology,2.27e-06,7.97,9,35,1,11.31,3.0
Cardiopulmonary Bypass,5.26e-08,0.94,5,263,3,5.1,3.0
Oocytes/physiology,6.03e-07,0.17,10,14,0,17.14,4.0
Immunotherapy,4.42e-09,0.74,1,300,0,1.0,4.0
"Receptors, Cell Surface/metabolism",4.77e-26,0.23,15,140,1,16.61,4.0
"Accidents, Occupational",5.96e-09,0.28,3,58,0,3.16,4.0
"DNA, Neoplasm/genetics",5.6e-07,0.97,3,187,0,3.05,4.0
Diabetes Mellitus/drug therapy,1.64e-07,1.82,77,303,8,96.57,2.0
Nerve Growth Factors/pharmacology,1.17e-07,0.03,1,2,0,1.5,3.0
Mothers/psychology,2.01e-17,1.29,150,95,1,155.17,3.0
Muscles,2.35e-23,0.04,3,1,2,1.33,2.0
Interpersonal Relations,5.01e-09,0.38,81,127,8,132.66,3.0
Water Supply/analysis,4.13e-06,0.38,8,67,0,8.96,4.0
Questionnaires,5.22e-42,1.79,468,320,18,538.8,1.0
Heart Failure/drug therapy,2.45e-09,3.38,19,2374,18,19.15,3.0
"DNA, Viral",1.76e-06,0.05,1,3,0,1.33,4.0
Adipose Tissue/physiology,2.18e-08,8.26,214,13,5,13.79,3.0
Genetic Techniques,2.06e-10,0.09,1,18,0,1.06,2.0
Norepinephrine/physiology,1.21e-06,0.07,2,5,0,2.8,4.0
Cachexia/physiopathology,3.31e-09,7.76,15,25,5,24.0,7.0
Endopeptidases/metabolism,2.71e-14,0.1,3,23,0,3.39,5.0
Antineoplastic Combined Chemotherapy Protocols/administration & dosage,8.19e-09,5.14,8,2004,4,8.03,4.0
"Plants, Medicinal/chemistry",4.85e-27,0.12,1,62,0,1.02,3.0
Culture Techniques,5.99e-16,0.01,1,1,0,2.0,3.0
Hematopoietic Stem Cells/cytology,1.37e-13,0.21,8,62,0,9.03,3.0
Protein Kinase Inhibitors/therapeutic use,2.45e-08,2.89,3,718,1,3.01,5.0
"Spectrometry, Mass, Electrospray Ionization/methods",5.94e-21,0.05,2,17,0,2.24,4.0
Fibroblast Growth Factors/blood,5.05e-37,11.04,59,91,3,97.25,3.0
"Microscopy, Confocal/methods",4.3e-07,0.08,1,9,0,1.11,3.0
"Hospitals, Psychiatric",6.84e-15,0.09,5,13,1,6.92,5.0
Proto-Oncogene Proteins/blood,3.33e-21,8.82,31,77,1,43.48,5.0
Lithotripsy/methods,3.73e-06,1.47,31,10,1,13.23,2.0
Computer Systems,1.49e-10,0.07,1,12,0,1.08,3.0
"Proctocolectomy, Restorative/methods",1.44e-09,4.96,19,40,8,28.02,4.0
Piperidines/pharmacology,3e-08,0.23,11,38,0,14.18,3.0
Protein Precursors/metabolism,2.89e-09,0.19,2,36,1,2.11,3.0
Video Games,8.03e-10,3.29,50,3,0,3.18,4.0
"Cell Transformation, Neoplastic/pathology",4.23e-07,1.02,2,202,1,2.02,4.0
Space Perception,2.12e-12,0.03,1,3,0,1.33,4.0
Mexican Americans/statistics & numerical data,1.14e-09,10.39,55,39,6,66.65,5.0
Self Care,1.61e-09,1.32,91,100,2,173.81,2.0
Mast Cells/metabolism,4.46e-07,0.11,1,14,0,1.07,3.0
Nanoparticles,2.93e-08,0.28,3,53,0,3.17,4.0
Physical Endurance/physiology,1.55e-22,3.77,236,31,8,35.07,3.0
"Receptors, Nicotinic/metabolism",1.66e-07,0.14,2,20,0,2.2,6.0
"Diabetes Mellitus, Type 2/genetics",7.18e-12,10.16,826,83,7,91.34,3.0
Bone Transplantation/methods,1.11e-08,0.25,6,50,0,6.72,3.0
Ion Channels/physiology,2.95e-16,0.03,1,6,0,1.17,5.0
Conflict (Psychology),9.17e-10,0.14,6,21,0,7.71,3.0
Biological Evolution,2.15e-75,0.26,18,451,2,18.72,3.0
Membrane Proteins/chemistry,6e-18,0.03,1,6,0,1.17,3.0
Poverty,1.54e-27,2.92,223,427,8,339.46,3.0
Acetates/metabolism,2.37e-06,0.04,1,2,0,1.5,4.0
Pancreas,5.7e-13,0.08,5,9,0,7.78,2.0
"Diagnosis, Computer-Assisted",7.91e-07,0.18,6,17,1,8.12,2.0
Hepatocytes/metabolism,3.96e-09,0.21,3,40,0,3.23,3.0
Apoptosis,9.12e-29,0.36,18,474,1,18.68,4.0
Esophageal Neoplasms/epidemiology,1.38e-27,5.76,51,122,4,72.32,4.0
"Carcinoma, Hepatocellular/epidemiology",2.11e-11,5.22,30,188,4,34.79,4.0
"Pregnancy, Twin/statistics & numerical data",2.23e-07,17.1,7,31,1,8.58,4.0
